s	t	LFC	p.value
YIL036W	YLR372W	-2.00515622785	2.2321393831e-36
YIR033W	YMR105C	2.78165609738	4.33774059657e-61
YIL084C	YOL106W	-2.47679078504	2.92573912522e-12
YDL042C	YOL106W	-2.45234316762	4.19451290395e-12
YMR042W	YOL140W	2.6531563002	5.6538015592e-76
YML099C	YOL140W	2.50528840452	3.98866812698e-71
YHL025W	YPR016C	-2.11280923145	3.47717468539e-27
YMR043W	YPR016C	-2.60246356391	1.5209067751e-07
YIL036W	YPR052C	-2.05011742636	4.74164417914e-26
YER045C	YPL187W	-2.276531306	7.62286814031e-09
YLR131C	YPL187W	-2.15811495828	1.96414658088e-08
YDR421W	YPL187W	-2.33089451217	4.99884827602e-09
YMR280C	YPL187W	-2.03331601089	5.53009371879e-08
YLR418C	YPL187W	-2.12945199983	2.48034287804e-08
YOR028C	YPL187W	-2.03200367911	5.59089826622e-08
YPL177C	YPL187W	-2.2778404132	7.54732951737e-09
YDR363W	YPL187W	-2.30226121768	6.24643186683e-09
YOL051W	YPL187W	-2.2642505596	8.3798690474e-09
YPL248C	YPL187W	-2.17936116481	1.65067754569e-08
YEL009C	YPL187W	-2.086428629	3.54072710743e-08
YER040W	YPL187W	-2.1327533246	7.8505740615e-09
YEL056W	YPL187W	-2.40537776518	8.91400346288e-10
YBR245C	YPL187W	-2.17447663747	5.56713276401e-09
YCL055W	YPL187W	-2.342999323	1.44469699756e-09
YKL043W	YPL187W	-2.19773231636	4.60177274037e-09
YKL015W	YPL187W	-2.19799010954	4.59252489903e-09
YPL133C	YPL187W	-2.12004390556	8.71986837808e-09
YKL038W	YPL187W	-2.23431772498	3.42044859321e-09
YOR191W	YPL187W	-2.10122751228	1.02210144325e-08
YNL330C	YPL187W	-2.04700400245	1.62643884856e-08
YHR154W	YPL187W	-2.01459543899	2.15575148515e-08
YDR392W	YPL187W	-2.13780225097	8.37428831248e-10
YHR178W	YPL187W	-2.2124139941	4.08385929505e-09
YDR146C	YPL187W	-2.26110076173	2.75750505467e-09
YPL129W	YPL187W	-2.16673612196	5.93735559646e-09
YBR240C	YPL187W	-2.11714379888	8.92959725117e-09
YOR344C	YPL187W	-2.21013317764	4.1601336781e-09
YHL009C	YPL187W	-2.10090786445	1.02494388138e-08
YMR273C	YPL187W	-2.19013491091	4.88983640579e-09
YIL036W	YBL055C	-3.99838159768	3.76808979024e-26
YIL036W	YBL027W	-2.2507450758	9.94439480271e-40
YIL036W	YDR341C	-2.01725839958	2.04047281419e-29
YMR043W	YER053C	2.23032928055	8.20851849761e-06
YHL020C	YER026C	2.27756898954	1.07452882046e-61
YIL036W	YER055C	-2.44736192338	6.71586643344e-55
YIL036W	YER056C.A	-2.08528467906	4.35892040281e-31
YIL036W	YGL103W	-2.11234750033	7.51445069604e-41
YNL216W	YGL103W	-2.04987750723	1.30946117004e-07
YIL036W	YGL135W	-2.37732192667	9.14047242868e-47
YNL216W	YGL135W	-2.5967404264	7.763992692e-08
YHL020C	YGL077C	2.04849592991	4.67340948085e-35
YHL025W	YGL077C	-2.03720492987	3.17914645669e-34
YLR176C	YGR180C	3.29551118348	1.09616412199e-42
YNL236W	YGR180C	-3.15568569254	1.33197135456e-39
YHL025W	YGR180C	-2.3823489675	7.0931219249e-26
YNL216W	YGR214W	-2.41243216243	4.66094541488e-08
YLR451W	YHR208W	-2.94634540784	4.5925288997e-48
YIL036W	YHR208W	-2.24498638846	2.85548527649e-32
YIL036W	YIL018W	-2.25978154159	1.44386106018e-46
YPL075W	YIL018W	-2.35685361203	1.60816357924e-07
YNL216W	YIL018W	-2.88651547293	1.55623323397e-08
YIL084C	YLR157C.A	-2.87620005844	9.41959975055e-18
YDL042C	YLR157C.A	-3.7141180471	2.81732137112e-27
