X1	X2	sign
YER111C	YGL253W	0
YER111C	YGR014W	0
YER111C	YGR041W	0
YER111C	YGR109C	0
YER111C	YGR109WA	0
YER111C	YGR109WB	0
YER111C	YGR189C	0
YER111C	YGR221C	0
YER111C	YGR222W	0
YER111C	YGR249W	0
YER111C	YHR061C	0
YER111C	YHR149C	0
YER111C	YHR150W	0
YER111C	YIL056W	0
YER111C	YIL121W	0
YER111C	YIL123W	0
YER111C	YJL186W	0
YER111C	YJL187C	0
YER111C	YJR054W	0
YER111C	YKL007W	0
YER111C	YKL008C	0
YER111C	YKL043W	0
YER111C	YKL096CB	0
YER111C	YKL096WA	0
YER111C	YKL096W	0
YER111C	YKL101W	0
YER111C	YKL103C	0
YER111C	YKR042W	0
YER111C	YLR044C	0
YER111C	YLR084C	0
YER111C	YLR332W	0
YER111C	YML027W	0
YER111C	YMR016C	0
YER111C	YMR017W	0
YER111C	YMR135C	0
YER111C	YMR136W	0
YER111C	YMR179W	0
YER111C	YMR199W	0
YER111C	YMR279C	0
YER111C	YMR305C	0
YER111C	YMR306W	0
YER111C	YMR307W	0
YER111C	YNL231C	0
YER111C	YNL289W	0
YER111C	YNL298W	0
YER111C	YOL011W	0
YER111C	YOL012C	0
YER111C	YOL113W	0
YER111C	YOL114C	0
YER111C	YOR178C	0
YER111C	YOR246C	0
YER111C	YOR247W	0
YER111C	YOR372C	0
YER111C	YOR373W	0
YER111C	YOR378W	0
YER111C	YPL163C	0
YER111C	YPL267W	0
YER111C	YPR009W	0
YER111C	YPR013C	0
YER111C	YPR119W	0
YER111C	YPR159W	0
YER161C	SNR128	NA
YER161C	SNR190	NA
YER161C	SNR61	NA
YER161C	SNR69	NA
YER161C	YAL037CA	NA
YER161C	YAL037W	NA
YER161C	YBR159W	NA
YER161C	YDR524CB	NA
YER161C	YDR524C	NA
YER161C	YDR524WA	NA
YER161C	YDR525WA	NA
YER161C	YHR175W	NA
YER161C	YJL148W	NA
YER161C	YKL038W	NA
YER161C	YKL096CB	NA
YER161C	YKL096W	NA
YER161C	YLR354C	NA
YER161C	YOL086WA	NA
YER161C	YOL087C	NA
YER161C	YPL252C	NA
YER169W	YDR155C	1
YER169W	YDR156W	1
YFL021W	YDL237W	0
YFL021W	YDL238C	0
YFL021W	YEL062W	0
YFL021W	YEL063C	0
YFL021W	YIR029W	0
YFL021W	YJL110C	0
YFL021W	YJR011C	0
YFL021W	YJR013W	0
YFL021W	YLR023C	0
YFL021W	YML098W	0
YFL021W	YML099C	0
YFL031W	YDL146W	NA
YFL031W	YFR041C	NA
YFL031W	YFR042W	NA
YFL031W	YJL034W	NA
YFL031W	YJL035C	NA
YFL031W	YOL030W	NA
YFL031W	YOL031C	NA
YFR034C	YBR296CA	NA
YFR034C	YBR296C	NA
YFR034C	YBR297W	NA
YFR034C	YCL034W	NA
YFR034C	YCL035C	NA
YFR034C	YDR281C	NA
YFR034C	YDR441C	NA
YFR034C	YEL001C	NA
YFR034C	YER001W	NA
YFR034C	YGR253C	NA
YFR034C	YGR254W	NA
YFR034C	YHR136C	NA
YFR034C	YHR137W	NA
YFR034C	YJL117W	NA
YFR034C	YJR058C	NA
YFR034C	YJR059W	NA
YFR034C	YLR266C	NA
YFR034C	YLR267W	NA
YFR034C	YML121W	NA
YFR034C	YML123C	NA
YFR034C	YOL136C	NA
YFR034C	YPL018W	NA
YFR034C	YPL019C	NA
YGL013C	TI(AAU)P2	0
YGL013C	YOR138C	0
YGL013C	YOR140W	0
YGL013C	YPR171W	0
YGL035C	YDR441C	1
YGL035C	YOR178C	1
YGL035C	YPR184W	1
YGL071W	TK(UUU)G2	NA
YGL071W	YBR207W	NA
YGL071W	YCR021C	NA
YGL071W	YDR270W	NA
YGL071W	YEL060C	NA
YGL071W	YEL065W	NA
YGL071W	YER145C	NA
YGL071W	YER146W	NA
YGL071W	YGL055W	NA
YGL071W	YGL056C	NA
YGL071W	YGL181W	NA
YGL071W	YGL183C	NA
YGL071W	YGR108W	NA
YGL071W	YGR238C	NA
YGL071W	YGR257C	NA
YGL071W	YHL035C	NA
YGL071W	YHR199C	NA
YGL071W	YHR200W	NA
YGL071W	YKL101W	NA
YGL071W	YKL103C	NA
YGL071W	YKL175W	NA
YGL071W	YKL176C	NA
YGL071W	YKR052C	NA
YGL071W	YLR205C	NA
YGL071W	YLR206W	NA
YGL071W	YMR016C	NA
YGL071W	YMR017W	NA
YGL071W	YMR177W	NA
YGL071W	YNL241C	NA
YGL071W	YNL259C	NA
YGL071W	YNL260C	NA
YGL071W	YNL268W	NA
YGL071W	YNL270C	NA
YGL071W	YNR060W	NA
YGL071W	YOR316CA	NA
YGL071W	YOR316C	NA
YGL071W	YOR317W	NA
YGL071W	YPL135W	NA
YGL071W	YPL137C	NA
YGL071W	YPL156C	NA
YGL071W	YPR124W	NA
YGL071W	YPR151C	NA
YGL073W	SNR18	NA
YGL073W	YAL003W	NA
YGL073W	YAL005C	NA
YGL073W	YBL075C	NA
YGL073W	YBR072W	NA
YGL073W	YBR101C	NA
YGL073W	YBR169C	NA
YGL073W	YCL050C	NA
YGL073W	YDL020C	NA
YGL073W	YDL180W	NA
YGL073W	YDR171W	NA
YGL073W	YDR214W	NA
YGL073W	YDR258C	NA
YGL073W	YER103W	NA
YGL073W	YFL014W	NA
YGL073W	YFL016C	NA
YGL073W	YGR142W	NA
YGL073W	YGR146CA	NA
YGL073W	YGR146C	NA
YGL073W	YGR210C	NA
YGL073W	YGR211W	NA
YGL073W	YHR104W	NA
YGL073W	YJL034W	NA
YGL073W	YJL035C	NA
YGL073W	YLL039C	NA
YGL073W	YLR216C	NA
YGL073W	YNL006W	NA
YGL073W	YNL007C	NA
YGL073W	YOL081W	NA
YGL073W	YOR027W	NA
YGL073W	YOR298CA	NA
YGL073W	YOR299W	NA
YGL073W	YPL106C	NA
YGL131C	TC(GCA)P2	NA
YGL131C	YAL038W	NA
YGL131C	YAL039C	NA
YGL131C	YBL075C	NA
YGL131C	YBR138C	NA
YGL131C	YBR139W	NA
YGL131C	YBR143C	NA
YGL131C	YBR145W	NA
YGL131C	YCR090C	NA
YGL131C	YCR091W	NA
YGL131C	YHR138C	NA
YGL131C	YIL159W	NA
YGL131C	YIL160C	NA
YGL131C	YJL092W	NA
YGL131C	YJL093C	NA
YGL131C	YLR176C	NA
YGL131C	YLR177W	NA
YGL131C	YNL181W	NA
YGL131C	YNL182C	NA
YGL131C	YPR104C	NA
YGL131C	YPR120C	NA
YGL131C	YPR121W	NA
YGL131C	YPR158W	NA
YGL131C	YPR184W	NA
YGL162W	YBL029CA	0
YGL162W	YBL029W	0
YGL162W	YBL030C	0
YGL162W	YBL043W	0
YGL162W	YBR069C	0
YGL162W	YDL214C	0
YGL162W	YDR132C	0
YGL162W	YDR441C	0
YGL162W	YER044C	0
YGL162W	YER045C	0
YGL162W	YER046W	0
YGL162W	YER145C	0
YGL162W	YER146W	0
YGL162W	YGL055W	0
YGL162W	YGL056C	0
YGL162W	YGL158W	0
YGL162W	YGL163C	0
YGL162W	YGR067C	0
YGL162W	YGR249W	0
YGL162W	YHR080C	0
YGL162W	YHR081W	0
YGL162W	YIL011W	0
YGL162W	YIL013C	0
YGL162W	YIL118W	0
YGL162W	YIL119C	0
YGL162W	YJL105W	0
YGL162W	YKL062W	0
YGL162W	YKL063C	0
YGL162W	YKL109W	0
YGL162W	YKL110C	0
YGL162W	YKR075C	0
YGL162W	YKR076W	0
YGL162W	YLR153C	0
