A	B	sign
YPL256C	YJL157C	NA
YML016C	YOR054C	1
YNL053W	YOR257W	1
YLR019W	YBR275C	1
YLR096W	YHR186C	0
YLR113W	YGR159C	0
YIR026C	YGL099W	1
YDL230W	YBR275C	1
YLL019C	YOR201C	0
YDR247W	YGR097W	0
YIL095W	YHR016C	0
YGR109C	YJL157C	NA
YPL026C	YBL066C	0
YBL009W	YOR017W	0
YDL155W	YER040W	NA
YML057W	YPL235W	1
YGL158W	YER022W	0
YPL203W	YPR133C	0
YLR096W	YJL076W	0
YLR096W	YLR182W	0
YOR267C	YML074C	0
YKL198C	YGR204W	0
YOR061W	YOR341W	0
YHR082C	YKL161C	NA
YDL028C	YKL089W	0
YCR073C	YLR006C	0
YPL203W	YER132C	0
YOR267C	YDR028C	0
YGR052W	YDR457W	0
YOL001W	YGL216W	NA
YPL179W	YKL193C	1
YIR026C	YHR170W	1
YDL155W	YOR210W	NA
YNL207W	YDL031W	0
YGL158W	YBR081C	0
YGR262C	YKR048C	0
YPL204W	YNL229C	0
YJL165C	YIL051C	0
YOL045W	YKL035W	0
YNL025C	YLR310C	NA
YPL203W	YOL005C	0
YOR267C	YDR432W	0
YDR122W	YML006C	0
YCR073C	YIL051C	0
YGL190C	YAL016W	NA
YNL307C	YMR295C	0
YJL095W	YKL129C	0
YBL016W	YER114C	0
YGL229C	YNL076W	NA
YHR099W	YOL148C	NA
YER133W	YER006W	1
YGL158W	YPL254W	0
YER133W	YGL111W	1
YER133W	YER025W	1
YPL204W	YKL171W	NA
YJL098W	YPR040W	NA
YLR019W	YPR010C	1
YNL307C	YER138C	0
YCL024W	YJR076C	0
YNL020C	YNL084C	0
YML057W	YPR115W	1
YHR030C	YGR070W	0
YOL128C	YGL207W	0
YDL101C	YJL076W	0
YGL158W	YAL035W	0
YOR267C	YLR175W	0
YHR082C	YHR186C	0
YBR160W	YBR135W	0
YNL267W	YDR373W	NA
YJR059W	YML074C	0
YNL099C	YNL032W	NA
YGL190C	YJR064W	NA
YJL095W	YGL205W	0
YPR119W	YMR047C	NA
YGR109C	YBR135W	NA
YDL179W	YKR048C	NA
YPL209C	YGR140W	0
YDR466W	YMR049C	0
YOR267C	YCL054W	0
YDR247W	YJL076W	0
YMR001C	YDR229W	0
YJL106W	YHR186C	0
YJR066W	YKL171W	NA
YCR079W	YPL118W	1
YPL153C	YHR107C	0
YHR076W	YJL076W	1
YBL105C	YFR024CA	0
YPL204W	YER132C	0
YHR135C	YML103C	0
YBR059C	YBL047C	0
YGR040W	YER093C	0
YOR267C	YGR103W	0
YNL207W	YPR143W	0
YER133W	YAL043C	1
YGL215W	YGL156W	NA
YNL161W	YOL036W	0
YBL016W	YMR295C	0
YJL164C	YOR210W	0
YPL203W	YBR154C	0
YLL019C	YNL004W	0
YPR161C	YCR028CA	0
YPR106W	YJR019C	0
YHR135C	YJL039C	0
YJL106W	YGL003C	0
YKL198C	YOR198C	0
YML036W	YER174C	NA
YAR018C	YDR216W	0
YBL105C	YBL047C	0
YBR274W	YMR102C	0
YIL002C	YGL120C	NA
YJL187C	YBR109C	0
YAR018C	YGR032W	0
YPL153C	YCL014W	0
YPR161C	YNL004W	0
YGL019W	YBR084W	NA
YLL019C	YGR090W	0
YNL053W	YDR229W	1
YBR125C	YDR071C	1
YDR507C	YLR314C	0
YPL209C	YBR156C	0
YJR057W	YJL076W	NA
YJL187C	YJL053W	0
YJL141C	YPL247C	0
YDR247W	YIL070C	0
YNL307C	YLR310C	0
YNL207W	YOL078W	0
YHR030C	YDR206W	0
YHR135C	YPL169C	0
YBR274W	YDL042C	0
YIL035C	YPR010C	0
YFR028C	YOR093C	1
YJL141C	YLR256W	0
YHR030C	YOR353C	0
YJL187C	YAR014C	0
YFR028C	YDL025C	NA
YJL095W	YMR064W	0
YOR061W	YOR054C	0
YPR106W	YOR198C	0
YJR110W	YJL154C	NA
YOR267C	YDR087C	0
YLR210W	YLR079W	NA
YPL140C	YGR240C	0
YNL025C	YGR250C	NA
YOR233W	YKL082C	0
YNL207W	YDL066W	0
YGL158W	YLR055C	0
YGR052W	YER125W	0
YGR109C	YOR368W	NA
YGL158W	YHR058C	0
YPR106W	YOL123W	0
YLR433C	YNL085W	1
YMR104C	YLL043W	0
YLL019C	YOL041C	0
YLR362W	YER165W	0
YDR466W	YBR084W	0
YMR001C	YDL003W	0
YHR030C	YLR175W	0
YLL019C	YLR196W	0
YOR233W	YOR294W	0
YNL025C	YLR342W	NA
YPR106W	YBR039W	0
YJL187C	YKL042W	0
YJR066W	YJL083W	0
YGR052W	YGR097W	0
YBL016W	YBR083W	0
YOR267C	YOR272W	0
YNL307C	YPR115W	0
YDL047W	YKR028W	1
YDL028C	YBR109C	0
YGR040W	YHR084W	0
YMR139W	YKR048C	0
YDL079C	YKL103C	0
YMR036C	YGR271W	1
YNL307C	YNL110C	0
YDR477W	YJL076W	0
YOR231W	YBR260C	0
YHR099W	YOL083W	NA
YPL204W	YBL104C	0
YDR122W	YAR014C	0
YGL134W	YKR096W	NA
YNL307C	YER160C	0
YNL020C	YGR241C	0
YNL307C	YGR097W	0
YJL095W	YDR162C	0
YOR233W	YLL008W	0
YDL179W	YPR191W	NA
YPL204W	YNL197C	0
YNL207W	YHR013C	0
YPL153C	YJR076C	0
YNL020C	YBL007C	0
YNL161W	YER165W	0
YJL095W	YOR294W	0
YFR028C	YNL001W	1
YHR102W	YER110C	0
YER133W	YPL093W	1
YHR102W	YOR353C	0
YJL187C	YPL124W	0
YJR110W	YOR206W	NA
YGL190C	YER052C	NA
YPL204W	YLR258W	0
YGR188C	YOR026W	0
YDR507C	YNL166C	0
YIL035C	YBR275C	0
YMR139W	YNL199C	0
YJR066W	YLR108C	0
YGL019W	YMR172W	NA
YPL256C	YBR135W	NA
YIL106W	YDR206W	NA
YNL298W	YCL011C	0
YKL126W	YPR041W	0
YJL095W	YOR017W	0
YOR233W	YOL041C	0
YLR113W	YMR172W	0
YDL214C	YDR216W	0
YNL307C	YEL062W	0
YDR122W	YMR124W	0
YJL095W	YBR142W	0
YDL028C	YKR096W	0
YDL028C	YDR162C	0
YOL128C	YJL123C	0
YPL153C	YDL225W	0
YHR030C	YMR116C	0
YDR466W	YPL093W	0
YJL095W	YML074C	0
YGL134W	YML091C	NA
YMR001C	YIL026C	0
YGL190C	YDR212W	NA
YGR052W	YLR072W	0
YLR362W	YDL053C	0
YPL140C	YKL161C	NA
YNL307C	YOL138C	0
YJL141C	YGR020C	0
YGR052W	YLL013C	0
YFR028C	YBL025W	1
